layer,site,order,anchor,anchor_side,exp_dim,group_size,ppl,ppl_repeats,n_evals,diverged,accepted,is_seed,delta_vs_incumbent,wall_s,apply_ms,assignment_hash,paired_ci_low,paired_ci_high
0,attention,0,2,max,10,256,4.731203917968714,4.731203917968714,0,False,True,True,0.0,0.0,0.0,a2cdd56dd1dfd360,,
0,attention,1,1,max,10,256,4.7076212728108295,4.7076212728108295,1,False,False,False,0.023582645157884663,25.92938645905815,5.450600059702992,89aba60c172c0b2f,-0.01339389757647158,0.12140064687422747
0,attention,2,3,max,10,256,4.728190279694288,4.728190279694288,1,False,False,False,0.0030136382744263557,25.938554238993675,5.214842967689037,201ec7dd5a16c733,-0.001911330943058509,0.004707919055071841
1,attention,0,2,max,10,256,4.731203917968714,4.731203917968714,0,False,True,True,0.0,0.0,0.0,a2cdd56dd1dfd360,,
1,attention,1,1,max,10,256,5.070192037260492,5.070192037260492,1,False,False,False,-0.33898811929177786,25.93570249294862,4.558115964755416,1b44061fde8fb425,-0.5761016017941856,-0.19266104770493087
1,attention,2,3,max,10,256,4.718313445259485,4.718313445259485,1,False,True,False,0.012890472709229606,25.939178593922406,5.251121008768678,29aaaf8cf25bab1f,0.0020807815015682074,0.027939641194599574
2,attention,0,2,max,10,256,4.718313445259485,4.718313445259485,0,False,True,True,0.0,0.0,0.0,29aaaf8cf25bab1f,,
2,attention,1,1,max,10,256,4.560262863556664,4.560262863556664,1,False,True,False,0.15805058170282038,25.941255405079573,5.2754138596355915,9be97527b1dfbd30,0.005619602658186285,0.3911489367505592
2,attention,2,3,max,10,256,5.508769607110307,5.508769607110307,1,False,False,False,-0.9485067435536427,25.945147489896044,4.604927031323314,36a5bb3e6822be06,-2.296290910526505,-0.3402283162235671
3,attention,0,2,max,10,256,4.560262863556664,4.560262863556664,0,False,True,True,0.0,0.0,0.0,9be97527b1dfbd30,,
3,attention,1,1,max,10,256,4.960126234750734,4.960126234750734,1,False,False,False,-0.39986337119407,25.921338855987415,5.197593010962009,ba041987ba5c832d,-0.6880446114500902,-0.20299030081165492
3,attention,2,3,max,10,256,4.527872883714766,4.527872883714766,1,False,True,False,0.03238997984189851,25.965410203207284,4.5679179020226,bd18b615a0104964,0.0008707791300737178,0.09327674928661
4,attention,0,2,max,10,256,4.527872883714766,4.527872883714766,0,False,True,True,0.0,0.0,0.0,bd18b615a0104964,,
4,attention,1,1,max,10,256,4.5504635456997615,4.5504635456997615,1,False,False,False,-0.02259066198499582,25.932671339949593,5.189862102270126,5e05879c19f43803,-0.04237750722238953,-0.007885701529005473
4,attention,2,3,max,10,256,4.528130628603784,4.528130628603784,1,False,False,False,-0.00025774488901841863,25.97702938108705,4.581554094329476,950666f301d2ef18,-0.005488822931662973,0.005172532729118551
5,attention,0,2,max,10,256,4.527872883714766,4.527872883714766,0,False,True,True,0.0,0.0,0.0,bd18b615a0104964,,
5,attention,1,1,max,10,256,4.5247998331972905,4.5247998331972905,1,False,False,False,0.0030730505174751954,25.965711215045303,5.52350701764226,3135c21c45e7464e,-0.014119964180594469,0.03816770880667786
5,attention,2,3,max,10,256,4.581704649638305,4.581704649638305,1,False,False,False,-0.05383176592353944,25.967440912034363,5.551422014832497,24a82ba7b0709b8c,-0.14578000065768038,-0.015923364876889057
6,attention,0,2,max,10,256,4.527872883714766,4.527872883714766,0,False,True,True,0.0,0.0,0.0,bd18b615a0104964,,
6,attention,1,1,max,10,256,4.444835318386733,4.444835318386733,1,False,False,False,0.08303756532803241,25.948919075075537,5.214268108829856,c846c1df25f62216,-0.009314465437101127,0.23580437850957203
6,attention,2,3,max,10,256,4.570040653899599,4.570040653899599,1,False,False,False,-0.04216777018483331,25.94149568816647,5.1838119979947805,03be04246581c456,-0.10894565143565416,-0.013783195003731485
7,attention,0,2,max,10,256,4.527872883714766,4.527872883714766,0,False,True,True,0.0,0.0,0.0,bd18b615a0104964,,
7,attention,1,1,max,10,256,4.485253593749603,4.485253593749603,1,False,True,False,0.04261928996516229,25.9456744058989,5.227889167144895,491488fe9e4b759a,0.00023517332464928487,0.09743862780550128
7,attention,2,3,max,10,256,4.549164003066549,4.549164003066549,1,False,False,False,-0.06391040931694558,25.93042908818461,5.184260895475745,ccd07cc325b245bb,-0.1368642963686595,-0.0075254908850985736
8,attention,0,2,max,10,256,4.485253593749603,4.485253593749603,0,False,True,True,0.0,0.0,0.0,491488fe9e4b759a,,
8,attention,1,1,max,10,256,4.517733711423981,4.517733711423981,1,False,False,False,-0.03248011767437742,25.93255091807805,5.231069168075919,60558d0c5a1df337,-0.06617226905264939,-0.014647026299035915
8,attention,2,3,max,10,256,4.482298434116482,4.482298434116482,1,False,False,False,0.002955159633120985,25.93690675101243,4.999493947252631,8882b8f66144a700,-0.00032136480435074333,0.0063363694436526785
9,attention,0,2,max,10,256,4.485253593749603,4.485253593749603,0,False,True,True,0.0,0.0,0.0,491488fe9e4b759a,,
9,attention,1,1,max,10,256,4.495814250820267,4.495814250820267,1,False,False,False,-0.01056065707066356,25.942476053955033,5.1093329675495625,8ca46511dd8c3433,-0.029850532321949785,0.004361505240406238
9,attention,2,3,max,10,256,4.483693657475601,4.483693657475601,1,False,False,False,0.001559936274002638,25.95647694193758,5.21839689463377,090c401772a8b72b,-0.0008247026890955134,0.004575464157935194
10,attention,0,2,max,10,256,4.485253593749603,4.485253593749603,0,False,True,True,0.0,0.0,0.0,491488fe9e4b759a,,
10,attention,1,1,max,10,256,4.478497742644783,4.478497742644783,1,False,True,False,0.006755851104820465,25.98333343002014,4.486200865358114,9e66d31668cf5802,5.712585328376818e-05,0.024229273537679674
10,attention,2,3,max,10,256,4.4903690223318655,4.4903690223318655,1,False,False,False,-0.01187127968708257,25.923585255164653,4.54421597532928,7f51a516153777e0,-0.04380691525224023,-3.3950235423407804e-05
11,attention,0,2,max,10,256,4.478497742644783,4.478497742644783,0,False,True,True,0.0,0.0,0.0,9e66d31668cf5802,,
