ppl,ppl_token_weighted,total_loss,num_batches,n_tokens,wall_s,gpu_s,apply_ms,assignment_hash,input_hash,peak_mem_cuda:0,peak_mem_cuda:1,prov_torch,prov_transformers,prov_python,prov_cuda,prov_n_devices,prov_function_name,prov_profiling,prov_model
4.517733711423981,4.517733711423981,6.032041907310486,4,32768,26.0208904822357,26.020876953125,5.704911891371012,60558d0c5a1df337,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.482298434116482,4.482298434116482,6.000543832778931,4,32768,25.995208375155926,25.995177734375,5.18988398835063,8882b8f66144a700,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.495814250820267,4.495814250820267,6.012587189674377,4,32768,25.980893331114203,25.9808828125,5.547067616134882,8ca46511dd8c3433,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.483693657475601,4.483693657475601,6.0017887353897095,4,32768,25.987258054781705,25.987228515625,5.804905202239752,090c401772a8b72b,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.478497742644783,4.478497742644783,5.997150659561157,4,32768,25.982646374963224,25.982609375,5.36945927888155,9e66d31668cf5802,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.4903690223318655,4.4903690223318655,6.007739543914795,4,32768,26.0353869847022,26.03538671875,5.675086751580238,7f51a516153777e0,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.48144558842666,4.48144558842666,5.999782681465149,4,32768,25.977185893803835,25.977154296875,5.7074823416769505,bd77a4c1aa94d68d,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.482324215690901,4.482324215690901,6.000566840171814,4,32768,25.979798479005694,25.9797890625,5.391207989305258,8869571a1e212047,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.484286588512155,4.484286588512155,6.002317667007446,4,32768,25.98104243213311,25.981015625,5.725015886127949,0d4461092790b605,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.4806208132979854,4.4806208132979854,5.999046444892883,4,32768,25.975894791074097,25.975859375,5.667109973728657,ddad2bd8ad8c0ce2,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.491818296207834,4.491818296207834,6.009030342102051,4,32768,25.978217482101172,25.97820703125,5.87577186524868,0c104f35fda75bf6,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.479585118265187,4.479585118265187,5.998121738433838,4,32768,25.984372491016984,25.98433984375,5.678918678313494,3f7e8803a2c3cc12,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
4.479407697567815,4.479407697567815,5.997963309288025,4,32768,26.04814313771203,26.048134765625,5.503023974597454,7d00f0ef8c839f3f,a7ffcf49b17fa3fa,57702418944,57635277312,2.8.0+cu128,4.56.1,3.11.13,12.8,2,vlp,off,NousResearch/Llama-2-7b-hf
