layer,site,order,anchor,anchor_side,exp_dim,group_size,ppl,ppl_repeats,n_evals,diverged,accepted,is_seed,delta_vs_incumbent,wall_s,apply_ms,assignment_hash,paired_ci_low,paired_ci_high
0,attention,0,2,max,10,256,4.731203917968714,4.731203917968714,0,False,True,True,0.0,0.0,0.0,a2cdd56dd1dfd360,,
0,attention,1,1,max,10,256,4.7076212728108295,4.7076212728108295,1,False,False,False,0.023582645157884663,25.9834162206389,5.763634108006954,89aba60c172c0b2f,-0.01339389757647158,0.12140064687422747
0,attention,2,3,max,10,256,4.728190279694288,4.728190279694288,1,False,False,False,0.0030136382744263557,25.97068898472935,4.968680907040834,201ec7dd5a16c733,-0.001911330943058509,0.004707919055071841
1,attention,0,2,max,10,256,4.731203917968714,4.731203917968714,0,False,True,True,0.0,0.0,0.0,a2cdd56dd1dfd360,,
1,attention,1,1,max,10,256,5.070192037260492,5.070192037260492,1,False,False,False,-0.33898811929177786,25.960116922389716,5.686602089554071,1b44061fde8fb425,-0.5761016017941856,-0.19266104770493087
1,attention,2,3,max,10,256,4.718313445259485,4.718313445259485,1,False,True,False,0.012890472709229606,26.13224476017058,5.824503023177385,29aaaf8cf25bab1f,0.0020807815015682074,0.027939641194599574
2,attention,0,2,max,10,256,4.718313445259485,4.718313445259485,0,False,True,True,0.0,0.0,0.0,29aaaf8cf25bab1f,,
2,attention,1,1,max,10,256,4.560262863556664,4.560262863556664,1,False,True,False,0.15805058170282038,25.980798061937094,5.774859804660082,9be97527b1dfbd30,0.005619602658186285,0.3911489367505592
2,attention,2,3,max,10,256,5.508769607110307,5.508769607110307,1,False,False,False,-0.9485067435536427,25.98563287779689,5.784851964563131,36a5bb3e6822be06,-2.296290910526505,-0.3402283162235671
3,attention,0,2,max,10,256,4.560262863556664,4.560262863556664,0,False,True,True,0.0,0.0,0.0,9be97527b1dfbd30,,
3,attention,1,1,max,10,256,4.960126234750734,4.960126234750734,1,False,False,False,-0.39986337119407,25.96771004376933,5.645362660288811,ba041987ba5c832d,-0.6880446114500902,-0.20299030081165492
3,attention,2,3,max,10,256,4.527872883714766,4.527872883714766,1,False,True,False,0.03238997984189851,25.98863975191489,5.641122814267874,bd18b615a0104964,0.0008707791300737178,0.09327674928661
4,attention,0,2,max,10,256,4.527872883714766,4.527872883714766,0,False,True,True,0.0,0.0,0.0,bd18b615a0104964,,
4,attention,1,1,max,10,256,4.5504635456997615,4.5504635456997615,1,False,False,False,-0.02259066198499582,25.984859633259475,5.713928025215864,5e05879c19f43803,-0.04237750722238953,-0.007885701529005473
4,attention,2,3,max,10,256,4.528130628603784,4.528130628603784,1,False,False,False,-0.00025774488901841863,25.995165191125125,5.676013883203268,950666f301d2ef18,-0.005488822931662973,0.005172532729118551
5,attention,0,2,max,10,256,4.527872883714766,4.527872883714766,0,False,True,True,0.0,0.0,0.0,bd18b615a0104964,,
5,attention,1,1,max,10,256,4.5247998331972905,4.5247998331972905,1,False,False,False,0.0030730505174751954,25.9981326200068,5.6845759972929955,3135c21c45e7464e,-0.014119964180594469,0.03816770880667786
5,attention,2,3,max,10,256,4.581704649638305,4.581704649638305,1,False,False,False,-0.05383176592353944,25.984785547014326,5.69861801341176,24a82ba7b0709b8c,-0.14578000065768038,-0.015923364876889057
6,attention,0,2,max,10,256,4.527872883714766,4.527872883714766,0,False,True,True,0.0,0.0,0.0,bd18b615a0104964,,
6,attention,1,1,max,10,256,4.444835318386733,4.444835318386733,1,False,False,False,0.08303756532803241,25.98297750065103,5.791106726974249,c846c1df25f62216,-0.009314465437101127,0.23580437850957203
6,attention,2,3,max,10,256,4.570040653899599,4.570040653899599,1,False,False,False,-0.04216777018483331,26.005872959736735,5.104243755340576,03be04246581c456,-0.10894565143565416,-0.013783195003731485
7,attention,0,2,max,10,256,4.527872883714766,4.527872883714766,0,False,True,True,0.0,0.0,0.0,bd18b615a0104964,,
7,attention,1,1,max,10,256,4.485253593749603,4.485253593749603,1,False,True,False,0.04261928996516229,25.96545703103766,5.737486761063337,491488fe9e4b759a,0.00023517332464928487,0.09743862780550128
7,attention,2,3,max,10,256,4.549164003066549,4.549164003066549,1,False,False,False,-0.06391040931694558,25.996845583897084,5.77898882329464,ccd07cc325b245bb,-0.1368642963686595,-0.0075254908850985736
8,attention,0,2,max,10,256,4.485253593749603,4.485253593749603,0,False,True,True,0.0,0.0,0.0,491488fe9e4b759a,,
8,attention,1,1,max,10,256,4.517733711423981,4.517733711423981,1,False,False,False,-0.03248011767437742,26.0208904822357,5.704911891371012,60558d0c5a1df337,-0.06617226905264939,-0.014647026299035915
8,attention,2,3,max,10,256,4.482298434116482,4.482298434116482,1,False,False,False,0.002955159633120985,25.995208375155926,5.18988398835063,8882b8f66144a700,-0.00032136480435074333,0.0063363694436526785
9,attention,0,2,max,10,256,4.485253593749603,4.485253593749603,0,False,True,True,0.0,0.0,0.0,491488fe9e4b759a,,
9,attention,1,1,max,10,256,4.495814250820267,4.495814250820267,1,False,False,False,-0.01056065707066356,25.980893331114203,5.547067616134882,8ca46511dd8c3433,-0.029850532321949785,0.004361505240406238
9,attention,2,3,max,10,256,4.483693657475601,4.483693657475601,1,False,False,False,0.001559936274002638,25.987258054781705,5.804905202239752,090c401772a8b72b,-0.0008247026890955134,0.004575464157935194
10,attention,0,2,max,10,256,4.485253593749603,4.485253593749603,0,False,True,True,0.0,0.0,0.0,491488fe9e4b759a,,
10,attention,1,1,max,10,256,4.478497742644783,4.478497742644783,1,False,True,False,0.006755851104820465,25.982646374963224,5.36945927888155,9e66d31668cf5802,5.712585328376818e-05,0.024229273537679674
10,attention,2,3,max,10,256,4.4903690223318655,4.4903690223318655,1,False,False,False,-0.01187127968708257,26.0353869847022,5.675086751580238,7f51a516153777e0,-0.04380691525224023,-3.3950235423407804e-05
11,attention,0,2,max,10,256,4.478497742644783,4.478497742644783,0,False,True,True,0.0,0.0,0.0,9e66d31668cf5802,,
11,attention,1,1,max,10,256,4.48144558842666,4.48144558842666,1,False,False,False,-0.002947845781877234,25.977185893803835,5.7074823416769505,bd77a4c1aa94d68d,-0.011365339187144663,0.020348448587276913
11,attention,2,3,max,10,256,4.482324215690901,4.482324215690901,1,False,False,False,-0.0038264730461179397,25.979798479005694,5.391207989305258,8869571a1e212047,-0.011013824134134431,-0.0008906582851153644
12,attention,0,2,max,10,256,4.478497742644783,4.478497742644783,0,False,True,True,0.0,0.0,0.0,9e66d31668cf5802,,
12,attention,1,1,max,10,256,4.484286588512155,4.484286588512155,1,False,False,False,-0.005788845867371606,25.98104243213311,5.725015886127949,0d4461092790b605,-0.012202859642963304,-0.00041011718316408263
12,attention,2,3,max,10,256,4.4806208132979854,4.4806208132979854,1,False,False,False,-0.0021230706532024968,25.975894791074097,5.667109973728657,ddad2bd8ad8c0ce2,-0.00568503561398348,0.0006470529636457556
13,attention,0,2,max,10,256,4.478497742644783,4.478497742644783,0,False,True,True,0.0,0.0,0.0,9e66d31668cf5802,,
13,attention,1,1,max,10,256,4.491818296207834,4.491818296207834,1,False,False,False,-0.01332055356305073,25.978217482101172,5.87577186524868,0c104f35fda75bf6,-0.02103072057385269,-0.003909670266304843
13,attention,2,3,max,10,256,4.479585118265187,4.479585118265187,1,False,False,False,-0.001087375620404174,25.984372491016984,5.678918678313494,3f7e8803a2c3cc12,-0.00918226666078148,0.0030324190863160183
14,attention,0,2,max,10,256,4.478497742644783,4.478497742644783,0,False,True,True,0.0,0.0,0.0,9e66d31668cf5802,,
14,attention,1,1,max,10,256,4.479407697567815,4.479407697567815,1,False,False,False,-0.0009099549230322523,26.04814313771203,5.503023974597454,7d00f0ef8c839f3f,-0.00825184751182828,0.009448225721474302
14,attention,2,3,max,10,256,4.482122508885794,4.482122508885794,1,False,False,False,-0.003624766241011379,25.967857461888343,5.0956630147993565,17be37a31234f2e0,-0.007469479177824034,-0.0013658213824601084
15,attention,0,2,max,10,256,4.478497742644783,4.478497742644783,0,False,True,True,0.0,0.0,0.0,9e66d31668cf5802,,
15,attention,1,1,max,10,256,4.4938661189077616,4.4938661189077616,1,False,False,False,-0.0153683762629786,25.956307627260685,5.707873962819576,f409aaf5a614099f,-0.03568269818809355,-0.006441041035548434
15,attention,2,3,max,10,256,4.479770823451809,4.479770823451809,1,False,False,False,-0.0012730808070262611,25.98400982422754,5.5215549655258656,bb1bb29cfc89735d,-0.002578575104998926,-0.00040800184207867574
16,attention,0,2,max,10,256,4.478497742644783,4.478497742644783,0,False,True,True,0.0,0.0,0.0,9e66d31668cf5802,,
